
> Original 20 stage case
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-134.				3.0267	0.6407	0.0337		2.0654

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		119.3	0.000	0.0000	0.000		5.7667	0.7437	0.0000		20.000
NON-react[2]		131.1	0.000	0.0000	0.000		5.8697	0.6752	0.0000		20.000
NON-react[3]		140.3	0.000	0.0000	0.000		5.8012	0.6136	0.0000		20.000
NON-react[4]		148.7	0.000	0.0000	0.000		5.7396	0.5249	0.0218		20.000
NON-react[5]		157.3	0.000	0.0000	0.000		5.6727	0.4430	0.0000		20.000
NON-react[6]		167.3	0.000	0.0000	0.000		5.5909	0.3311	0.0000		20.000
NON-react[7]		181.1	0.000	0.0000	0.000		5.4790	0.1558	0.0389		20.000
React-ive[8]		200.0	-24.4	0.1555	0.201		5.3427	0.0671	0.0000		20.000
React-ive[9]		210.0	-33.7	0.1961	0.306		4.5610	0.0521	0.0000		20.000
React-ive[10]		220.0	-38.8	0.2284	0.424		3.9304	0.0359	0.0153		20.000
React-ive[11]		230.0	-41.6	0.2499	0.541		3.3726	0.0387	0.0000		20.000
React-ive[12]		240.0	-43.3	0.2601	0.657		2.8543	0.0433	0.0000		20.000
NON-react[13]		255.9	0.000	0.0000	0.000		2.3509	0.0401	0.0000		20.000
React-ive[14]		260.0	-44.9	0.2857	0.798		2.3477	0.0371	0.0000		20.000
React-ive[15]		270.0	-45.2	0.2917	0.874		1.8736	0.0318	0.0000		20.000
React-ive[16]		280.0	-45.6	0.2950	0.930		1.4044	0.0250	0.0000		20.000
React-ive[17]		290.0	-45.8	0.2956	0.967		0.9372	0.0176	0.0000		20.000
React-ive[18]		300.0	-46.0	0.2942	0.988		0.4695	0.0109	0.0000		20.000
NON-react[19]		300.0	0.000	0.0000	0.000		0.0002	0.0109	0.0000		20.000
NON-react[20]		300.2	0.000	0.0000	0.000		0.0002	0.0109	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		350.0	0.550				0.0002	0.0107			20.000
------------------------------------------------------------------------------------------------------------
Napha:		0.77
Gasoline:	0.76
Diesel:		0.60
Heavy:		0.86
============================================================================================================
2018-07-09 16:51:46 - Function time
Elapsed time: 0:00:19
Total time:   0:00:19
============================================================================================================

> Optimized Temperature and Reflux
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-150.				2.4093	0.8985	0.0472		2.2855

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		118.0	0.000	0.0000	0.000		5.6407	1.0720	0.0000		20.000
NON-react[2]		126.7	0.000	0.0000	0.000		5.8141	0.9939	0.0000		20.000
NON-react[3]		134.8	0.000	0.0000	0.000		5.7361	0.9317	0.0000		20.000
NON-react[4]		143.2	0.000	0.0000	0.000		5.6739	0.8302	0.0345		20.000
NON-react[5]		152.2	0.000	0.0000	0.000		5.6070	0.7389	0.0000		20.000
NON-react[6]		163.0	0.000	0.0000	0.000		5.5157	0.5993	0.0000		20.000
NON-react[7]		178.4	0.000	0.0000	0.000		5.3761	0.3337	0.0834		20.000
React-ive[8]		200.0	-30.5	0.1303	0.210		5.1939	0.2946	0.0000		20.000
React-ive[9]		237.4	-34.6	0.2706	0.487		4.4121	0.1445	0.0000		20.000
React-ive[10]		240.7	-43.0	0.2732	0.541		3.7757	0.0639	0.0274		20.000
React-ive[11]		252.2	-43.5	0.3069	0.630		3.2389	0.0239	0.0000		20.000
React-ive[12]		244.1	-44.3	0.2871	0.628		2.7712	0.0173	0.0000		20.000
NON-react[13]		244.5	0.000	0.0000	0.000		2.3050	0.0150	0.0000		20.000
React-ive[14]		245.3	-44.5	0.2880	0.679		2.3027	0.0130	0.0000		20.000
