
First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[2]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[3]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[4]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[5]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[6]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[7]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[8]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000

Connect stages and introduce inter-stage flow

> Working on PR ratio = 1.00
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[2]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[3]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[4]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[5]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[6]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[7]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[8]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.0000	0.0000	0.0064		20.000

> Working on PR ratio = 0.90
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.798		0.0530	0.0006	0.0057		20.000
React-ive[2]		220.0	-43.2	0.2660	0.798		0.0530	0.0007	0.0063		20.000
React-ive[3]		220.0	-43.2	0.2660	0.798		0.0530	0.0007	0.0064		20.000
React-ive[4]		220.0	-43.2	0.2660	0.798		0.0530	0.0007	0.0064		20.000
React-ive[5]		220.0	-43.2	0.2660	0.798		0.0530	0.0007	0.0064		20.000
React-ive[6]		220.0	-43.2	0.2660	0.798		0.0530	0.0007	0.0064		20.000
React-ive[7]		220.0	-43.2	0.2660	0.798		0.0530	0.0007	0.0064		20.000
React-ive[8]		220.0	-43.2	0.2660	0.799		0.0530	0.0007	0.0064		20.000
React-ive[9]		220.0	-43.2	0.2660	0.800		0.0525	0.0007	0.0064		20.000
React-ive[10]		220.0	-43.2	0.2660	0.815		0.0477	0.0007	0.0064		20.000

> Working on PR ratio = 0.80
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-43.2	0.2660	0.779		0.1194	0.0012	0.0051		20.000
React-ive[2]		220.0	-43.2	0.2660	0.779		0.1194	0.0015	0.0061		20.000
React-ive[3]		220.0	-43.2	0.2660	0.779		0.1194	0.0015	0.0063		20.000
React-ive[4]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
React-ive[5]		220.0	-43.2	0.2660	0.779		0.1194	0.0016	0.0064		20.000
